"X.1","X","Group.1","Participant_ID","Frame","Seconds","F_Angry","F_Disgusted","F_Afraid","F_Happy","F_Sad","F_Surprised","F_Neutral","F_x1","F_x2","F_y1","F_y2","F_height","F_width","F_area","G_Ratio","G_Direction","G_WOR","G_x1","G_x2","G_y1","G_y2","G_height","G_width","G_area","S_Angry","S_Afraid","S_Happy","S_Sad","S_Neutral","Treatment","Group","newPR","MainFrame","L_Seconds","L_Time","L_Sector","L_angry","L_disgusted","L_afraid","L_happy","L_sad","L_surprised","L_neutral","C_Seconds","C_Time","C_Sector","C_angry","C_disgusted","C_afraid","C_happy","C_sad","C_surprised","C_neutral","R_Seconds","R_Time","R_Sector","R_angry","R_disgusted","R_afraid","R_happy","R_sad","R_surprised","R_neutral","S","ActualFrame","newTime","Treatment_Time","Task","PP_QC","EDA_QC","BR_QC","Chest_HR_QC","Wrist_HR_QC","BL_PP","BL_PP2","J_Angry","J_Disgusted","J_Afraid","J_Happy","J_Sad","J_Surprised","J_Neutral","F_DomEmo","F_DomEmoBinary","F_SumEmo","F_SumEmoBinary","L_DomEmo","L_DomEmoBinary","L_SumEmo","L_SumEmoBinary","C_DomEmo","C_DomEmoBinary","C_SumEmo","C_SumEmoBinary","R_DomEmo","R_DomEmoBinary","R_SumEmo","R_SumEmoBinary","J_DomEmo","J_DomEmoBinary","J_SumEmo","J_SumEmoBinary","F_SumCheck","L_SumCheck","C_SumCheck","R_SumCheck","J_SumCheck","LengthPR","Age","Gender","Nationality","Other_Nationality","Native_Language","Other_Native_Language","Writing_Proficiency","BFI_Agreeableness","BFI_Conscientiousness","BFI_Extraversion","BFI_Neuroticism","BFI_Openness","ERQ_Cognitive_Reappraisal","ERQ_Expressive_Suppression","Percieved_Stress_Scale","NASA_Mental_Demand","NASA_Physical_Demand","NASA_Temporal_Demand","NASA_Performance","NASA_Effort","NASA_Frustration","Word_Count","Character_Count","Criterion_Score","Grammar_Errors.WC","Usage_Errors.WC","Style_Errors.WC","Mechanic_Errors.WC","CJ_Binary","F_DomEmoB_N","F_DomEmoB_N_count","F_DomEmoB_E","F_DomEmoB_E_count","F_DomEmoB_N_percentage","F_DomEmoB_E_percentage","F_SumEmoB_N","F_SumEmoB_N_count","F_SumEmoB_E","F_SumEmoB_E_count","F_SumEmoB_N_percentage","F_SumEmoB_E_percentage","F_observation_count","F_observation_percentage","J_DomEmoB_N","J_DomEmoB_N_count","J_DomEmoB_E","J_DomEmoB_E_count","J_DomEmoB_N_percentage","J_DomEmoB_E_percentage","J_SumEmoB_N","J_SumEmoB_N_count","J_SumEmoB_E","J_SumEmoB_E_count","J_SumEmoB_N_percentage","J_SumEmoB_E_percentage","PJ_DEM_NN","PJ_DEM_NN_count","PJ_DEM_NN_percentage","PJ_DEM_EE","PJ_DEM_EE_count","PJ_DEM_EE_percentage","PJ_DEM_Lock","PJ_DEM_Lock_count","PJ_DEM_Lock_percentage","PJ_SEM_NN","PJ_SEM_NN_count","PJ_SEM_NN_percentage","PJ_SEM_EE","PJ_SEM_EE_count","PJ_SEM_EE_percentage","PJ_SEM_Lock","PJ_SEM_Lock_count","PJ_SEM_Lock_percentage","PJ_DEM_NE","PJ_DEM_NE_count","PJ_DEM_NE_percentage","PJ_DEM_EN","PJ_DEM_EN_count","PJ_DEM_EN_percentage","PJ_DEM_NoLock","PJ_DEM_NoLock_count","PJ_DEM_NoLock_percentage","PJ_SEM_NE","PJ_SEM_NE_count","PJ_SEM_NE_percentage","PJ_SEM_EN","PJ_SEM_EN_count","PJ_SEM_EN_percentage","PJ_SEM_NoLock","PJ_SEM_NoLock_count","PJ_SEM_NoLock_percentage","PCJ_DEM_NE","PCJ_DEM_NE_count","PCJ_DEM_NE_percentage","PCJ_DEM_EN","PCJ_DEM_EN_count","PCJ_DEM_EN_percentage","PCJ_DEM_NoLock","PCJ_DEM_NoLock_count","PCJ_DEM_NoLock_percentage","PCJ_SEM_NE","PCJ_SEM_NE_count","PCJ_SEM_NE_percentage","PCJ_SEM_EN","PCJ_SEM_EN_count","PCJ_SEM_EN_percentage","PCJ_SEM_NoLock","PCJ_SEM_NoLock_count","PCJ_SEM_NoLock_percentage"
251700,251700,4518,"T176",45184.5,4518,0.007967268,1.75047e-05,0.01831265,0.0531493,0.1591574,0.0025342,0.7588617,27.11111,313,39.88889,325.7778,285.8889,285.8889,81818.78,2.673742,"CLOSED",6.606412,39.2,302.4,83.5,346.7,263.2,263.2,69517.6,3.249113e-08,0.001230913,2.096956e-06,0.9515882,0.04717879,"PR","BL",1,3839.5,127.9833,"0:02:08.5",1,0.02283476,3.774871e-06,0.1089291,0.5243219,0.04469474,0.001655829,0.2975598,127.9833,"0:02:08.5",2,0.005635686,4.140299e-13,0.0001721884,4.994627e-08,0.06084145,1.629861e-09,0.9333506,127.9833,"0:02:08.5",3,0.1339306,1.325272e-06,0.01752148,0.0002119293,0.1172527,0.000482501,0.7305995,44.65,3839.5,"2018-07-17 17:27:03",0,NA,0.005796674,0.1322572,15,62,71.67,0.005987638,0.005995093,0.05413367,1.700048e-06,0.0422076,0.1748446,0.07426298,0.0007127773,0.6538366,"Neutral",0,"Neutral",0,"Happy",1,"Emotion",1,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,1,1,1,1,1,269.1,18,2,1,1,1,NA,7,39,35,37,12,39,36,9,14,5,2,5,7,6,2,442,442,4,0.002262443,0.002262443,0.002262443,0.04072398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251701,251701,4519,"T176",45194.5,4519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"LEFT",7.268671,-33.4,275.8,144.5,428.2,283.7,309.2,88437.6,0.004999307,0.8291341,0.003155831,0.02414601,0.1385648,"PR","BL",1,3869.5,128.9833,"0:02:09.5",1,0.05643037,9.117659e-06,0.0887312,0.4333943,0.09357554,0.001352268,0.3265072,128.9833,"0:02:09.5",2,0.005629394,2.487976e-12,0.001129615,1.315143e-07,0.1070021,2.164255e-08,0.8862388,128.9833,"0:02:09.5",3,0.04201189,5.052708e-07,0.02675212,0.001012226,0.05429245,0.000192872,0.8757379,45.65,3869.5,"2018-07-17 17:27:04",0.5,NA,0.005834244,0.1330579,15,62,71.785,0.005987638,0.005995093,0.03469055,3.207644e-06,0.03887098,0.1448022,0.0849567,0.0005150538,0.6961613,NA,NA,NA,NA,"Happy",1,"Emotion",1,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,NA,1,1,1,1,269.1,18,2,1,1,1,NA,7,39,35,37,12,39,36,9,14,5,2,5,7,6,2,442,442,4,0.002262443,0.002262443,0.002262443,0.04072398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251702,251702,4520,"T176",45204.5,4520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.872136,"CENTER",8.657046,-32.1,301.7,140.1,449.6,309.5,333.8,103306,0.001579738,0.5201056,0.03755055,0.4360932,0.004670889,"PR","BL",1,3899.5,129.9833,"0:02:10.5",1,0.05319332,1.560507e-05,0.1232279,0.3611575,0.08887418,0.003165863,0.3703656,129.9833,"0:02:10.5",2,0.008020879,9.523016e-10,0.0002793359,2.032733e-06,0.1019588,2.335408e-07,0.8897387,129.9833,"0:02:10.5",3,0.03132159,3.661192e-07,0.1873461,0.001750193,0.05989391,6.86433e-05,0.7196192,46.65,3899.5,"2018-07-17 17:27:05",1.5,NA,0.005908835,0.1327376,15,62,71.985,0.005987638,0.005995093,0.03084526,5.324048e-06,0.1036178,0.1209699,0.08357564,0.001078247,0.6599078,NA,NA,NA,NA,"Neutral",0,"Emotion",1,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,NA,1,1,1,1,269.1,18,2,1,1,1,NA,7,39,35,37,12,39,36,9,14,5,2,5,7,6,2,442,442,4,0.002262443,0.002262443,0.002262443,0.04072398,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251703,251703,4521,"T176",45214.5,4521,0.0005552169,9.019763e-05,0.08164911,0.001596688,0.7979277,0.000111755,0.1180693,6,261,73.75,328.75,255,255,65025,1.22721,"CENTER",7.196625,-59.5,284.5,112.5,422,309.5,344,106468,1.419858e-06,0.03931629,5.503877e-06,0.9551094,0.005567366,"PR","BL",1,3929.5,130.9833,"0:02:11.5",1,0.05168748,7.273781e-05,0.08493147,0.4203996,0.140909,0.0006161372,0.3013835,130.9833,"0:02:11.5",2,0.02767508,4.542192e-07,0.03311467,0.000205691,0.2856093,0.0001151377,0.6532796,130.9833,"0:02:11.5",3,0.02079968,4.166241e-07,0.2536909,0.0002971847,0.1959508,4.767856e-05,0.5292134,47.65,3929.5,"2018-07-17 17:27:06",2.5,NA,0.005970056,0.1314566,15,62,72.15,0.005987638,0.005995093,0.03338741,2.453622e-05,0.1239123,0.1403008,0.2074897,0.0002596511,0.4946255,"Sad",1,"Emotion",1,"Happy",1,"Emotion",1,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,"Emotion",1,1,1,1,1,1,269.1,18,2,1,1,1,NA,7,39,35,37,12,39,36,9,14,5,2,5,7,6,2,442,442,4,0.002262443,0.002262443,0.002262443,0.04072398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251704,251704,4522,"T176",45224.5,4522,0.00280256,0.0005816914,0.2073514,0.06700001,0.5713384,0.0001890388,0.1507369,12.1,281.6,69.4,338.9,269.5,269.5,72793.3,1.341385,"CLOSED",5.888274,-42,302,95,405,310,344,106640,4.812084e-05,0.1709717,0.0040445,0.8158028,0.009132919,"PR","BL",1,3959.5,131.9833,"0:02:12.5",1,0.05638324,8.277914e-05,0.1590067,0.2764039,0.1252993,0.001168714,0.3816553,131.9833,"0:02:12.5",2,0.01855362,1.325974e-07,0.06918388,0.0001576634,0.6838948,8.590064e-06,0.2282013,131.9833,"0:02:12.5",3,0.02249133,7.51686e-07,0.05057596,0.0002156705,0.413058,8.966747e-06,0.5136493,48.65,3959.5,"2018-07-17 17:27:07",3.5,NA,0.005994256,0.1314566,15,62,72.315,0.005987638,0.005995093,0.03247606,2.788781e-05,0.09292219,0.09225909,0.4074174,0.0003954237,0.374502,"Sad",1,"Emotion",1,"Neutral",0,"Emotion",1,"Sad",1,"Emotion",1,"Neutral",0,"Neutral",0,"Sad",1,"Emotion",1,1,1,1,1,1,269.1,18,2,1,1,1,NA,7,39,35,37,12,39,36,9,14,5,2,5,7,6,2,442,442,4,0.002262443,0.002262443,0.002262443,0.04072398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251705,251705,4523,"T176",45234.5,4523,0.002469785,0.0004846631,0.28992,0.01874292,0.6288803,0.00175625,0.05774609,11.77778,288.4444,72.66667,349.3333,276.6667,276.6667,76684.89,NA,"CLOSED",6.137234,-42,302,95,405,310,344,106640,1.225514e-06,2.606043e-05,5.146871e-08,0.4774808,0.5224919,"PR","BL",1,3989.5,132.9833,"0:02:13.5",1,0.1067319,6.787328e-05,0.105375,0.1043891,0.2708311,0.0003017233,0.4123034,132.9833,"0:02:13.5",2,0.01913016,6.835182e-08,0.1095151,0.0003783846,0.5437123,6.125938e-07,0.3272634,132.9833,"0:02:13.5",3,0.02766749,1.05559e-07,0.02669912,0.0002018854,0.34068,5.293611e-07,0.6047509,49.65,3989.5,"2018-07-17 17:27:08",4.5,NA,NA,0.1312965,15,62.5,72.485,0.005987638,0.005995093,0.05117652,2.26824e-05,0.08052973,0.03498978,0.3850744,0.0001009551,0.4481059,"Sad",1,"Emotion",1,"Neutral",0,"Emotion",1,"Sad",1,"Emotion",1,"Neutral",0,"Neutral",0,"Neutral",0,"Emotion",1,1,1,1,1,1,269.1,18,2,1,1,1,NA,7,39,35,37,12,39,36,9,14,5,2,5,7,6,2,442,442,4,0.002262443,0.002262443,0.002262443,0.04072398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251706,251706,4524,"T176",45244.5,4524,0.001765453,0.0008561925,0.3134234,0.007811453,0.6507816,0.0001176932,0.02524423,11.625,284.5,83.625,356.5,272.875,272.875,74577.12,NA,"RIGHT",7.811747,-42,302,95,405,310,344,106640,2.878682e-10,7.12018e-06,1.371695e-12,0.9999923,5.568037e-07,"PR","BL",1,4019.5,133.9833,"0:02:14.5",1,0.1457897,3.927008e-05,0.09974471,0.06596855,0.3429666,0.0003658718,0.3451252,133.9833,"0:02:14.5",2,0.06854523,0.002439433,0.1131899,6.590963e-05,0.380589,3.866478e-06,0.4351666,133.9833,"0:02:14.5",3,0.04829697,7.541948e-07,0.008415811,0.000508721,0.09995447,3.406435e-05,0.8427892,50.65,4019.5,"2018-07-17 17:27:09",5.5,NA,0.006022671,0.1272938,15,63.5,72.645,0.005987638,0.005995093,0.08754398,0.0008264857,0.07378348,0.02218106,0.2745034,0.0001346009,0.541027,"Sad",1,"Emotion",1,"Neutral",0,"Emotion",1,"Neutral",0,"Emotion",1,"Neutral",0,"Neutral",0,"Neutral",0,"Neutral",0,1,1,1,1,1,269.1,18,2,1,1,1,NA,7,39,35,37,12,39,36,9,14,5,2,5,7,6,2,442,442,4,0.002262443,0.002262443,0.002262443,0.04072398,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251707,251707,4525,"T176",45254.5,4525,0.00554866,0.0002647376,0.2555038,0.4081815,0.2433315,0.01824652,0.06892311,14.55556,293.4444,63.11111,342,278.8889,278.8889,77917.56,0,"CLOSED",6.429355,-35.6,299.8,83.2,387.7,304.5,335.4,102529.2,0.04990686,0.2434238,0.1594344,0.5444076,0.00282727,"PR","BL",1,4049.5,134.9833,"0:02:15.5",1,0.09769059,5.391808e-05,0.0792853,0.07259262,0.3274262,0.000182416,0.4227689,134.575,NA,2,0.2117985,0.00558903,0.2094849,3.602385e-06,0.5248077,4.373926e-06,0.04831201,134.9833,"0:02:15.5",3,0.06143297,1.330797e-06,0.01540211,0.0006444386,0.1656558,0.0001540452,0.7567093,51.65,4049.5,"2018-07-17 17:27:10",6.5,NA,0.006048083,0.1258529,15,71,72.75,0.005987638,0.005995093,0.1236407,0.001881426,0.1013908,0.02441355,0.3392965,0.0001136117,0.4092634,"Happy",1,"Emotion",1,"Neutral",0,"Emotion",1,"Sad",1,"Emotion",1,"Neutral",0,"Neutral",0,"Neutral",0,"Emotion",1,1,1,1,1,1,269.1,18,2,1,1,1,NA,7,39,35,37,12,39,36,9,14,5,2,5,7,6,2,442,442,4,0.002262443,0.002262443,0.002262443,0.04072398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251708,251708,4526,"T176",45264.5,4526,0.008792852,3.377567e-06,0.05263034,0.00736024,0.01323062,0.0492631,0.8687194,36.4,292,28.9,284.5,255.6,255.6,65354.2,0.1590875,"RIGHT",3.339555,44.4,302.4,55.8,313.8,258,258,66564,0.1080433,0.4797809,0.3210713,0.049678,0.04142654,"PR","BL",1,4079.5,135.9833,"0:02:16.5",1,0.1260555,0.000243991,0.09126595,0.007242947,0.431915,3.378642e-05,0.3432429,136.45,"0:02:16.5",2,0.1641683,0.001104195,0.3130725,7.628527e-06,0.4517583,1.328571e-05,0.06987575,135.9833,"0:02:16.5",3,0.05630276,8.58257e-07,0.04485173,0.0005706848,0.2361821,9.016613e-05,0.6620017,52.65,4079.5,"2018-07-17 17:27:11",7.5,NA,0.006106715,0.1284146,15,82.5,72.805,0.005987638,0.005995093,0.1155088,0.0004496816,0.1497301,0.002607087,0.3732851,4.574608e-05,0.3583734,"Neutral",0,"Neutral",0,"Sad",1,"Emotion",1,"Sad",1,"Emotion",1,"Neutral",0,"Neutral",0,"Sad",1,"Emotion",1,1,1,0.9999999,1,1,269.1,18,2,1,1,1,NA,7,39,35,37,12,39,36,9,14,5,2,5,7,6,2,442,442,4,0.002262443,0.002262443,0.002262443,0.04072398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251709,251709,4527,"T176",45274.5,4527,0.05075605,6.142329e-05,0.03124689,0.03563037,0.06513884,0.005694417,0.811472,36.1,300.2,33.9,298,264.1,264.1,69778.3,0.7973601,"RIGHT",5.381959,50,308,70.3,328.3,258,258,66564,0.0102414,0.07471145,0.006965902,0.7779839,0.1300973,"PR","BL",1,4109.5,136.9833,"0:02:17.5",1,0.1374116,0.00103364,0.09840616,0.009457991,0.506872,3.42729e-05,0.2467844,136.9977,"0:02:17.5",2,0.07512319,0.0005247026,0.1496877,5.264116e-06,0.4625479,7.731481e-06,0.3121035,136.9833,"0:02:17.5",3,0.03640985,1.61731e-07,0.2087945,0.0008344687,0.5440289,0.002926622,0.2070055,53.65,4109.5,"2018-07-17 17:27:12",8.5,NA,0.006171315,0.1284144,15,90,72.865,0.005987638,0.005995093,0.08298153,0.0005195013,0.1522961,0.003432575,0.5044829,0.000989542,0.2552978,"Neutral",0,"Neutral",0,"Sad",1,"Emotion",1,"Sad",1,"Emotion",1,"Sad",1,"Emotion",1,"Sad",1,"Emotion",1,1,1,1,1,1,269.1,18,2,1,1,1,NA,7,39,35,37,12,39,36,9,14,5,2,5,7,6,2,442,442,4,0.002262443,0.002262443,0.002262443,0.04072398,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
